Метрика,Значение
Количество вакансий,319
"Максимальная стоимость ""От"" (руб)",1546200.0
Название вакансии (макс. От),"Пекарь (Истра, Сафонтьево, ДПК Лесная пристань, 2)"
"Максимальная стоимость ""До"" (руб)",1800000.0
Название вакансии (макс. До),"Пекарь (Москва, Тюменский, 3)"
"Минимальная стоимость ""От"" (руб)",599400.0
Название вакансии (мин. От),"Пекарь (Самара, Мичурина, 138)"
"Минимальная стоимость ""До"" (руб)",666000.0
Название вакансии (мин. До),"Пекарь (Ижевск, 9 Января, 219А)"
"Стоимость ""От"" (количество)",289
"Стоимость ""До"" (количество)",289
"Стоимость ""От"" (среднее)",1046155
"Стоимость ""До"" (среднее)",1148300
"Стоимость ""От"" (стандартное отклонение)",211180
"Стоимость ""До"" (стандартное отклонение)",225225
"Стоимость ""От"" (минимум)",599400
"Стоимость ""До"" (минимум)",666000
"Стоимость ""От"" (максимум)",1546200
"Стоимость ""До"" (максимум)",1800000
Минимальная стоимость (среднее),648000
Максимальная стоимость (среднее),1566000
Средняя стоимость по всем вакансиям,1097227
Медианная стоимость по всем вакансиям,1115100
